cliente_id,nome,sobrenome,data_nascimento,endereco,telefone,email
95,Carlos,Almeida,1969-09-18,"Praça D, 101",+55 21 4147-8966,carlos.almeida@exemplo.com
96,Ana,Costa,1983-11-13,"Alameda E, 202",+55 21 7236-1432,ana.costa@exemplo.com
97,Mariana,Almeida,1972-02-15,"Travessa C, 789",+55 21 8893-4284,mariana.almeida@exemplo.com
98,Gabriel,Souza,1976-06-01,"Avenida B, 456",+55 21 4051-7313,gabriel.souza@exemplo.com
99,Carlos,Nascimento,1972-12-27,"Alameda E, 202",+55 21 2937-7421,carlos.nascimento@exemplo.com
100,Ana,Rodrigues,1968-05-19,"Travessa C, 789",+55 21 9331-8294,ana.rodrigues@exemplo.com
101,Beatriz,Nascimento,1987-11-01,"Rua A, 123",+55 21 5884-7030,beatriz.nascimento@exemplo.com
102,Beatriz,Nascimento,1967-05-05,"Rua A, 123",+55 21 8058-2460,beatriz.nascimento@exemplo.com
103,Lucas,Pereira,1981-01-17,"Travessa C, 789",+55 21 4864-9043,lucas.pereira@exemplo.com
104,Beatriz,Almeida,1961-02-03,"Alameda E, 202",+55 21 7635-3642,beatriz.almeida@exemplo.com
105,Beatriz,Costa,1960-01-08,"Alameda E, 202",+55 21 6621-6932,beatriz.costa@exemplo.com
106,Mariana,Gomes,1967-10-20,"Alameda E, 202",+55 21 9585-9703,mariana.gomes@exemplo.com
107,Pedro,Almeida,1992-07-18,"Travessa C, 789",+55 21 7974-9985,pedro.almeida@exemplo.com
108,Mariana,Almeida,1977-08-27,"Travessa C, 789",+55 21 8969-2469,mariana.almeida@exemplo.com
109,Ana,Pereira,1966-04-08,"Alameda E, 202",+55 21 1848-5811,ana.pereira@exemplo.com
110,Maria,Lima,1997-08-22,"Travessa C, 789",+55 21 1857-9762,maria.lima@exemplo.com
111,João,Silva,1989-10-12,"Praça D, 101",+55 21 2230-6954,joão.silva@exemplo.com
112,Maria,Silva,1983-10-27,"Praça D, 101",+55 21 1772-7566,maria.silva@exemplo.com
113,Ana,Lima,1977-12-12,"Avenida B, 456",+55 21 4140-7833,ana.lima@exemplo.com
114,Paula,Lima,1972-01-31,"Rua A, 123",+55 21 6911-7986,paula.lima@exemplo.com
115,Carlos,Pereira,1969-09-17,"Rua A, 123",+55 21 8108-2192,carlos.pereira@exemplo.com
116,Ana,Gomes,1974-08-22,"Rua A, 123",+55 21 3211-9783,ana.gomes@exemplo.com
117,Mariana,Almeida,1986-03-26,"Rua A, 123",+55 21 1063-6919,mariana.almeida@exemplo.com
118,Pedro,Gomes,1960-05-02,"Avenida B, 456",+55 21 3598-3609,pedro.gomes@exemplo.com
119,Carlos,Nascimento,1996-09-26,"Avenida B, 456",+55 21 5738-4795,carlos.nascimento@exemplo.com
120,Mariana,Souza,1997-01-16,"Praça D, 101",+55 21 4186-7229,mariana.souza@exemplo.com
121,Ana,Lima,1976-10-25,"Avenida B, 456",+55 21 5635-2519,ana.lima@exemplo.com
122,Paula,Rodrigues,1979-03-09,"Alameda E, 202",+55 21 3075-3656,paula.rodrigues@exemplo.com
123,Maria,Oliveira,1971-08-01,"Travessa C, 789",+55 21 9274-7171,maria.oliveira@exemplo.com
124,Paula,Rodrigues,1962-06-01,"Alameda E, 202",+55 21 6922-4098,paula.rodrigues@exemplo.com
125,Carlos,Pereira,1984-03-25,"Rua A, 123",+55 21 5953-1890,carlos.pereira@exemplo.com
126,Maria,Costa,1981-06-14,"Rua A, 123",+55 21 7856-6188,maria.costa@exemplo.com
127,Beatriz,Costa,1982-04-26,"Avenida B, 456",+55 21 1267-3847,beatriz.costa@exemplo.com
128,João,Souza,1965-11-06,"Alameda E, 202",+55 21 8282-8221,joão.souza@exemplo.com
129,Paula,Almeida,1965-02-10,"Avenida B, 456",+55 21 9913-6399,paula.almeida@exemplo.com
130,Beatriz,Silva,1966-10-07,"Praça D, 101",+55 21 3456-4740,beatriz.silva@exemplo.com
131,Paula,Pereira,1975-05-21,"Alameda E, 202",+55 21 6159-7983,paula.pereira@exemplo.com
132,Carlos,Pereira,1975-05-06,"Alameda E, 202",+55 21 2515-3737,carlos.pereira@exemplo.com
133,Carlos,Gomes,1991-10-22,"Rua A, 123",+55 21 1376-3277,carlos.gomes@exemplo.com
134,Paula,Lima,1966-02-25,"Avenida B, 456",+55 21 1243-6445,paula.lima@exemplo.com
135,Gabriel,Nascimento,1988-03-18,"Avenida B, 456",+55 21 3682-1561,gabriel.nascimento@exemplo.com
136,Lucas,Rodrigues,1960-02-18,"Avenida B, 456",+55 21 9071-1684,lucas.rodrigues@exemplo.com
137,João,Costa,1970-11-28,"Praça D, 101",+55 21 6973-3150,joão.costa@exemplo.com
138,Pedro,Costa,1962-10-30,"Praça D, 101",+55 21 8119-3450,pedro.costa@exemplo.com
139,Pedro,Souza,1985-12-05,"Travessa C, 789",+55 21 4173-5928,pedro.souza@exemplo.com
140,Carlos,Souza,1977-02-23,"Avenida B, 456",+55 21 4690-1509,carlos.souza@exemplo.com
141,Carlos,Lima,1970-06-26,"Travessa C, 789",+55 21 7287-7648,carlos.lima@exemplo.com
142,Ana,Almeida,1977-11-09,"Avenida B, 456",+55 21 1265-6714,ana.almeida@exemplo.com
143,Beatriz,Souza,1977-12-01,"Avenida B, 456",+55 21 6194-2362,beatriz.souza@exemplo.com
144,Ana,Costa,1976-06-28,"Praça D, 101",+55 21 3397-8994,ana.costa@exemplo.com
145,João,Almeida,1989-02-02,"Travessa C, 789",+55 21 4649-8827,joão.almeida@exemplo.com
146,Carlos,Silva,1961-08-07,"Avenida B, 456",+55 21 5597-4758,carlos.silva@exemplo.com
147,Ana,Rodrigues,1985-07-22,"Rua A, 123",+55 21 5829-5462,ana.rodrigues@exemplo.com
148,Beatriz,Oliveira,1969-01-01,"Rua A, 123",+55 21 8153-9394,beatriz.oliveira@exemplo.com
149,Lucas,Costa,1964-01-25,"Praça D, 101",+55 21 5782-7842,lucas.costa@exemplo.com
150,Gabriel,Oliveira,1961-12-30,"Rua A, 123",+55 21 5324-4057,gabriel.oliveira@exemplo.com
151,Pedro,Pereira,1993-11-30,"Rua A, 123",+55 21 7710-9952,pedro.pereira@exemplo.com
152,Mariana,Oliveira,1993-08-25,"Rua A, 123",+55 21 2333-3708,mariana.oliveira@exemplo.com
153,João,Costa,1963-04-21,"Rua A, 123",+55 21 2428-5180,joão.costa@exemplo.com
154,João,Gomes,1993-03-02,"Rua A, 123",+55 21 2434-6948,joão.gomes@exemplo.com
155,Carlos,Nascimento,1989-11-09,"Avenida B, 456",+55 21 7118-6053,carlos.nascimento@exemplo.com
156,Beatriz,Pereira,1983-05-03,"Travessa C, 789",+55 21 5902-7887,beatriz.pereira@exemplo.com
157,Carlos,Almeida,1969-05-31,"Travessa C, 789",+55 21 9359-5354,carlos.almeida@exemplo.com
158,Lucas,Rodrigues,1964-03-23,"Travessa C, 789",+55 21 1356-7697,lucas.rodrigues@exemplo.com
159,Carlos,Costa,1973-04-27,"Alameda E, 202",+55 21 9748-5120,carlos.costa@exemplo.com
160,Maria,Silva,1980-12-07,"Travessa C, 789",+55 21 6389-9169,maria.silva@exemplo.com
161,Paula,Gomes,1976-07-20,"Avenida B, 456",+55 21 2209-9386,paula.gomes@exemplo.com
162,Lucas,Costa,1985-08-15,"Avenida B, 456",+55 21 5004-2929,lucas.costa@exemplo.com
163,Maria,Souza,1974-09-16,"Alameda E, 202",+55 21 2189-5575,maria.souza@exemplo.com
164,Ana,Nascimento,1999-08-17,"Rua A, 123",+55 21 2400-7274,ana.nascimento@exemplo.com
165,Pedro,Souza,1978-05-08,"Avenida B, 456",+55 21 4064-4570,pedro.souza@exemplo.com
166,Gabriel,Nascimento,1979-10-31,"Avenida B, 456",+55 21 8488-5424,gabriel.nascimento@exemplo.com
167,Ana,Silva,1998-11-27,"Avenida B, 456",+55 21 7667-2309,ana.silva@exemplo.com
168,Gabriel,Souza,1970-04-11,"Rua A, 123",+55 21 2031-3985,gabriel.souza@exemplo.com
169,Carlos,Lima,1991-01-01,"Rua A, 123",+55 21 4602-5840,carlos.lima@exemplo.com
170,Lucas,Gomes,1997-04-03,"Rua A, 123",+55 21 1018-4000,lucas.gomes@exemplo.com
171,Carlos,Lima,1961-04-07,"Alameda E, 202",+55 21 6867-7930,carlos.lima@exemplo.com
172,Paula,Almeida,1971-08-04,"Rua A, 123",+55 21 5568-3712,paula.almeida@exemplo.com
173,Pedro,Pereira,1990-01-23,"Alameda E, 202",+55 21 8586-6906,pedro.pereira@exemplo.com
174,Beatriz,Nascimento,1994-08-26,"Travessa C, 789",+55 21 9728-3087,beatriz.nascimento@exemplo.com
175,Mariana,Silva,1987-10-02,"Avenida B, 456",+55 21 3444-7206,mariana.silva@exemplo.com
176,Lucas,Costa,1989-09-10,"Rua A, 123",+55 21 3031-4153,lucas.costa@exemplo.com
177,Pedro,Lima,1963-06-13,"Alameda E, 202",+55 21 2709-2327,pedro.lima@exemplo.com
178,Ana,Lima,1960-06-03,"Praça D, 101",+55 21 2507-4936,ana.lima@exemplo.com
179,Lucas,Rodrigues,1999-09-30,"Avenida B, 456",+55 21 6118-9263,lucas.rodrigues@exemplo.com
180,Paula,Almeida,1967-05-13,"Travessa C, 789",+55 21 6635-6063,paula.almeida@exemplo.com
181,Pedro,Souza,1991-11-27,"Avenida B, 456",+55 21 8761-8384,pedro.souza@exemplo.com
182,Maria,Almeida,1973-08-19,"Praça D, 101",+55 21 1400-8821,maria.almeida@exemplo.com
183,Ana,Nascimento,2000-04-18,"Praça D, 101",+55 21 2455-9754,ana.nascimento@exemplo.com
184,João,Lima,1969-06-22,"Praça D, 101",+55 21 3202-1033,joão.lima@exemplo.com
185,Beatriz,Costa,1973-12-20,"Rua A, 123",+55 21 2006-3514,beatriz.costa@exemplo.com
186,Ana,Costa,1960-07-21,"Avenida B, 456",+55 21 6098-1403,ana.costa@exemplo.com
187,Carlos,Pereira,1978-12-02,"Avenida B, 456",+55 21 7623-8023,carlos.pereira@exemplo.com
188,Ana,Lima,1972-06-22,"Travessa C, 789",+55 21 3046-3498,ana.lima@exemplo.com
189,Maria,Pereira,1986-10-26,"Alameda E, 202",+55 21 9217-8183,maria.pereira@exemplo.com
190,Maria,Oliveira,1985-05-26,"Avenida B, 456",+55 21 8326-4976,maria.oliveira@exemplo.com
191,Gabriel,Silva,1972-02-08,"Travessa C, 789",+55 21 5812-6531,gabriel.silva@exemplo.com
192,Beatriz,Souza,1971-04-02,"Rua A, 123",+55 21 7442-6402,beatriz.souza@exemplo.com
193,Carlos,Rodrigues,1973-04-23,"Rua A, 123",+55 21 7341-9487,carlos.rodrigues@exemplo.com
194,Mariana,Pereira,1975-08-14,"Avenida B, 456",+55 21 3528-8652,mariana.pereira@exemplo.com
195,Carlos,Gomes,1976-10-23,"Avenida B, 456",+55 21 9466-2591,carlos.gomes@exemplo.com
196,João,Almeida,1978-07-24,"Praça D, 101",+55 21 6317-9267,joão.almeida@exemplo.com
197,Paula,Souza,1966-05-28,"Praça D, 101",+55 21 1135-2305,paula.souza@exemplo.com
198,Maria,Nascimento,1985-09-18,"Rua A, 123",+55 21 7308-8932,maria.nascimento@exemplo.com
199,Mariana,Souza,1968-01-06,"Travessa C, 789",+55 21 1139-7009,mariana.souza@exemplo.com
200,Pedro,Lima,1997-07-27,"Rua A, 123",+55 21 2953-7517,pedro.lima@exemplo.com
201,Mariana,Costa,1996-01-29,"Alameda E, 202",+55 21 7077-9502,mariana.costa@exemplo.com
202,Lucas,Almeida,1995-03-09,"Avenida B, 456",+55 21 9214-3286,lucas.almeida@exemplo.com
203,João,Rodrigues,1991-05-23,"Avenida B, 456",+55 21 5825-6570,joão.rodrigues@exemplo.com
204,Gabriel,Lima,1994-10-17,"Alameda E, 202",+55 21 8388-8596,gabriel.lima@exemplo.com
205,Lucas,Rodrigues,1989-09-29,"Praça D, 101",+55 21 9219-2984,lucas.rodrigues@exemplo.com
206,Mariana,Oliveira,1987-05-28,"Praça D, 101",+55 21 3018-2756,mariana.oliveira@exemplo.com
207,Maria,Rodrigues,1982-11-21,"Rua A, 123",+55 21 9179-2289,maria.rodrigues@exemplo.com
208,Maria,Nascimento,1993-12-01,"Rua A, 123",+55 21 6544-7387,maria.nascimento@exemplo.com
209,Gabriel,Souza,1962-11-24,"Avenida B, 456",+55 21 7840-2942,gabriel.souza@exemplo.com
210,Gabriel,Rodrigues,1972-11-27,"Travessa C, 789",+55 21 1689-2972,gabriel.rodrigues@exemplo.com
211,Pedro,Almeida,1998-03-28,"Alameda E, 202",+55 21 2887-6584,pedro.almeida@exemplo.com
212,Lucas,Lima,1994-04-01,"Praça D, 101",+55 21 4000-3467,lucas.lima@exemplo.com
213,Carlos,Gomes,1972-11-28,"Travessa C, 789",+55 21 2266-2511,carlos.gomes@exemplo.com
214,João,Nascimento,1968-08-31,"Praça D, 101",+55 21 4652-5770,joão.nascimento@exemplo.com
215,Pedro,Nascimento,1962-05-22,"Alameda E, 202",+55 21 9707-5524,pedro.nascimento@exemplo.com
216,João,Souza,1974-03-16,"Rua A, 123",+55 21 2126-8472,joão.souza@exemplo.com
217,João,Almeida,1979-06-14,"Travessa C, 789",+55 21 9769-6182,joão.almeida@exemplo.com
218,Ana,Silva,1999-03-04,"Alameda E, 202",+55 21 7533-7613,ana.silva@exemplo.com
219,Carlos,Gomes,1975-07-03,"Travessa C, 789",+55 21 7140-4261,carlos.gomes@exemplo.com
220,Lucas,Gomes,1970-06-29,"Travessa C, 789",+55 21 9134-8163,lucas.gomes@exemplo.com
221,João,Gomes,1971-07-02,"Avenida B, 456",+55 21 3029-7118,joão.gomes@exemplo.com
222,Paula,Souza,1973-09-26,"Alameda E, 202",+55 21 7150-9050,paula.souza@exemplo.com
223,Maria,Rodrigues,1979-07-02,"Alameda E, 202",+55 21 3859-3018,maria.rodrigues@exemplo.com
224,Lucas,Nascimento,1962-04-02,"Alameda E, 202",+55 21 4551-7816,lucas.nascimento@exemplo.com
225,Mariana,Lima,1970-03-24,"Praça D, 101",+55 21 2064-4678,mariana.lima@exemplo.com
226,Maria,Pereira,1974-01-09,"Avenida B, 456",+55 21 3519-9479,maria.pereira@exemplo.com
227,Pedro,Costa,1964-01-31,"Avenida B, 456",+55 21 1160-6500,pedro.costa@exemplo.com
228,Paula,Souza,1984-11-11,"Praça D, 101",+55 21 6932-4579,paula.souza@exemplo.com
229,Gabriel,Rodrigues,1972-04-27,"Avenida B, 456",+55 21 4129-7676,gabriel.rodrigues@exemplo.com
230,Mariana,Costa,1980-11-08,"Praça D, 101",+55 21 3192-2333,mariana.costa@exemplo.com
231,Lucas,Oliveira,1966-05-29,"Avenida B, 456",+55 21 8889-4372,lucas.oliveira@exemplo.com
232,Maria,Nascimento,1972-06-09,"Avenida B, 456",+55 21 8296-4591,maria.nascimento@exemplo.com
233,Beatriz,Gomes,1972-03-18,"Avenida B, 456",+55 21 8028-4909,beatriz.gomes@exemplo.com
234,Paula,Pereira,1981-03-07,"Praça D, 101",+55 21 1019-1365,paula.pereira@exemplo.com
235,Pedro,Oliveira,1962-08-03,"Praça D, 101",+55 21 2843-1116,pedro.oliveira@exemplo.com
236,Ana,Lima,1992-07-22,"Alameda E, 202",+55 21 9686-2817,ana.lima@exemplo.com
237,Gabriel,Oliveira,1987-04-16,"Alameda E, 202",+55 21 1726-2291,gabriel.oliveira@exemplo.com
238,Carlos,Souza,1971-05-08,"Avenida B, 456",+55 21 6743-8534,carlos.souza@exemplo.com
239,Mariana,Rodrigues,2000-10-21,"Avenida B, 456",+55 21 1811-4634,mariana.rodrigues@exemplo.com
240,Pedro,Almeida,1967-12-06,"Alameda E, 202",+55 21 1083-7120,pedro.almeida@exemplo.com
241,Ana,Nascimento,1997-04-06,"Rua A, 123",+55 21 8817-1571,ana.nascimento@exemplo.com
242,Mariana,Souza,1996-03-25,"Praça D, 101",+55 21 7940-2696,mariana.souza@exemplo.com
243,Carlos,Lima,1995-05-20,"Avenida B, 456",+55 21 3739-6766,carlos.lima@exemplo.com
244,Maria,Souza,1965-06-07,"Praça D, 101",+55 21 2271-5514,maria.souza@exemplo.com
245,Carlos,Almeida,1982-04-11,"Praça D, 101",+55 21 7768-8700,carlos.almeida@exemplo.com
246,Beatriz,Costa,1967-05-23,"Alameda E, 202",+55 21 4581-3657,beatriz.costa@exemplo.com
247,João,Souza,1964-09-07,"Avenida B, 456",+55 21 7387-9989,joão.souza@exemplo.com
248,Gabriel,Pereira,1961-05-11,"Alameda E, 202",+55 21 8206-3537,gabriel.pereira@exemplo.com
249,Lucas,Souza,1983-02-27,"Rua A, 123",+55 21 6004-7268,lucas.souza@exemplo.com
250,Mariana,Souza,1989-09-02,"Rua A, 123",+55 21 9215-8828,mariana.souza@exemplo.com
251,Paula,Pereira,1987-06-04,"Alameda E, 202",+55 21 2494-7351,paula.pereira@exemplo.com
252,Beatriz,Lima,1962-12-03,"Travessa C, 789",+55 21 6976-2050,beatriz.lima@exemplo.com
253,Paula,Pereira,1994-03-27,"Alameda E, 202",+55 21 3635-7105,paula.pereira@exemplo.com
254,Mariana,Lima,1984-01-19,"Travessa C, 789",+55 21 7030-8995,mariana.lima@exemplo.com
255,Maria,Nascimento,1972-10-01,"Alameda E, 202",+55 21 6356-6696,maria.nascimento@exemplo.com
256,Paula,Oliveira,1991-10-19,"Praça D, 101",+55 21 3016-5058,paula.oliveira@exemplo.com
257,Mariana,Rodrigues,1981-03-27,"Praça D, 101",+55 21 3456-9124,mariana.rodrigues@exemplo.com
258,Paula,Pereira,1985-04-26,"Avenida B, 456",+55 21 4811-3828,paula.pereira@exemplo.com
